City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,hun,29.1268,15.9477,309.22,17,99,10.46,LY,1685956093
242,kukushtan,57.6464,56.4952,289.94,31,0,2.92,RU,1685956093
243,kholm,59.2667,32.85,288.39,49,99,4.37,RU,1685956093
244,buala,-8.145,159.5921,300.32,82,99,2.97,SB,1685956093
245,cranbrook,49.4999,-115.7688,285.94,59,15,1.91,CA,1685956093
246,kangalassy,62.3464,129.9628,293.11,42,96,5.68,RU,1685956094
247,khrebtovaya,56.7032,104.2494,285.49,91,100,3.0,RU,1685956094
248,smithers,54.7804,-127.1743,275.33,100,20,0.0,CA,1685956094
249,batemans bay,-35.7167,150.1833,288.2,80,99,2.37,AU,1685956095
250,terrace,54.5163,-128.6035,282.16,96,99,1.83,CA,1685956095
251,sadovoye,47.7764,44.5089,287.56,93,100,5.85,RU,1685956095
252,port lincoln,-34.7333,135.8667,290.03,78,58,3.89,AU,1685956095
253,jibuti,11.5,42.5,308.61,25,9,2.52,DJ,1685956096
254,odweyne,9.4092,45.064,302.13,43,94,6.23,SO,1685956096
255,namatanai,-3.6667,152.4333,300.47,82,59,3.58,PG,1685956096
256,shingu,33.7333,135.9833,296.28,69,98,0.75,JP,1685956096
257,atambua,-9.1061,124.8925,297.44,71,63,0.36,ID,1685956096
258,sinop,41.7711,34.8709,288.39,99,100,2.17,TR,1685956097
259,colonia,50.9333,6.95,295.96,49,0,1.03,DE,1685956097
260,pyay,18.8167,95.2167,307.55,48,97,2.78,MM,1685956097
261,grand gaube,-20.0064,57.6608,298.92,73,15,4.02,MU,1685956097
262,santo tomas,14.1079,121.1414,303.46,83,100,0.79,PH,1685956098
263,coihaique,-45.5752,-72.0662,276.12,93,20,1.03,CL,1685956098
264,mirnyy,62.5353,113.9611,287.17,30,99,4.02,RU,1685956098
265,jeannette,40.3281,-79.6153,284.79,73,0,0.0,US,1685956098
266,victoria,22.2855,114.1577,305.35,70,26,5.36,HK,1685955827
267,mastic beach,40.7668,-72.8521,285.62,85,100,0.0,US,1685956099
268,telde,27.9924,-15.4192,294.84,78,40,2.06,ES,1685956099
269,saint-philippe,-21.3585,55.7679,300.92,81,36,6.44,RE,1685956099
270,hasaki,35.7333,140.8333,299.42,69,100,4.76,JP,1685956100
271,college,64.8569,-147.8028,284.21,72,40,2.06,US,1685956052
272,kadaya,50.9327,119.2911,294.77,21,100,6.73,RU,1685956100
273,vila,42.0304,-8.1588,290.76,84,89,0.16,PT,1685956100
274,ilulissat,69.2167,-51.1,273.16,69,75,0.0,GL,1685956100
275,ibotirama,-12.1853,-43.2206,290.39,77,69,0.9,BR,1685956027
276,manzil salim,35.8567,8.4765,293.38,55,100,3.52,TN,1685956101
277,dungarpur,23.8333,73.7167,313.04,22,0,4.47,IN,1685956101
278,krasnoborsk,61.5598,45.934,283.64,79,95,4.58,RU,1685956102
279,jalu,29.0331,21.5482,308.87,17,99,7.62,LY,1685956102
280,iqaluit,63.7506,-68.5145,272.98,84,93,1.79,CA,1685956102
281,gobabis,-22.45,18.9667,289.65,22,0,2.92,NA,1685956102
282,yatou,37.15,122.3833,294.33,59,93,8.59,CN,1685956103
283,sakaiminato,35.55,133.2333,295.07,74,99,3.22,JP,1685956103
284,salalah,17.0151,54.0924,305.2,66,20,5.66,OM,1685956103
285,meulaboh,4.1363,96.1285,300.66,77,100,2.04,ID,1685956103
286,khor,47.8861,134.9464,293.13,65,17,2.18,RU,1685956104
287,mayo,38.8876,-76.5119,289.12,88,100,1.54,US,1685956104
288,matara,5.9485,80.5353,303.07,66,75,6.1,LK,1685956104
289,killybegs,54.6333,-8.45,290.99,69,7,0.23,IE,1685956104
290,pionerskiy,54.9508,20.2275,290.06,60,0,2.64,RU,1685956105
291,sambava,-14.2667,50.1667,300.54,59,3,6.09,MG,1685956105
292,bathsheba,13.2167,-59.5167,300.49,89,20,5.14,BB,1685956105
293,wattegama,6.7989,81.4808,309.95,36,75,4.82,LK,1685956105
294,banfora,10.6333,-4.7667,299.42,63,100,2.49,BF,1685956106
295,whyalla,-33.0333,137.5833,291.87,57,95,5.32,AU,1685956106
296,winnemucca,40.973,-117.7357,289.18,59,0,5.14,US,1685956106
297,qaqortoq,60.7167,-46.0333,276.3,89,100,2.14,GL,1685956106
298,thinadhoo,0.5333,72.9333,301.38,73,100,2.35,MV,1685956106
299,shahreza,32.0339,51.8794,304.87,11,65,0.26,IR,1685956107
300,tagab,34.855,69.6492,303.34,12,6,3.35,AF,1685956107
301,rabo de peixe,37.8,-25.5833,291.88,88,40,2.57,PT,1685956107
302,ancud,-41.8697,-73.8203,283.09,88,100,8.94,CL,1685956107
303,severo-kurilsk,50.6789,156.125,277.26,91,55,7.15,RU,1685956107
304,broome,42.2506,-75.833,282.4,83,24,0.45,US,1685956108
305,hay river,60.8156,-115.7999,290.14,82,75,3.6,CA,1685955948
306,norwood,42.1945,-71.1995,283.88,94,100,4.47,US,1685956108
307,herat,34.5,62.0,305.67,12,0,7.37,AF,1685956108
308,ygatimi,-24.0833,-55.5,289.04,96,8,1.59,PY,1685956109
309,phanat nikhom,13.4458,101.1844,308.15,100,100,6.4,TH,1685956109
310,neuquen,-38.9516,-68.0591,281.59,38,100,2.25,AR,1685956109
311,namtsy,62.7161,129.6658,292.69,42,71,6.31,RU,1685956109
312,weiser,44.251,-116.9693,292.21,67,100,1.12,US,1685956110
313,khuzhir,53.1939,107.3397,286.45,54,97,2.17,RU,1685956111
314,khani,41.9563,42.9566,291.91,70,70,2.45,GE,1685956111
315,lokosovo,61.1333,74.8167,305.26,30,0,4.86,RU,1685956111
316,nhulunbuy,-12.2333,136.7667,299.49,83,40,5.14,AU,1685956111
317,yerbogachen,61.2767,108.0108,284.02,86,100,1.52,RU,1685956111
318,udachnyy,66.4167,112.4,277.2,63,100,6.61,RU,1685956112
319,kultayevo,57.8943,55.9392,290.14,39,0,4.02,RU,1685956112
320,wexford,52.3342,-6.4575,292.16,87,4,3.13,IE,1685956112
321,puerto madryn,-42.7692,-65.0385,283.11,39,100,9.45,AR,1685955871
322,palmerston,-12.486,130.9833,301.14,67,20,2.57,AU,1685956112
323,leningradskiy,69.3833,178.4167,274.31,97,100,1.98,RU,1685956113
324,mollendo,-17.0231,-72.0147,289.38,86,61,3.39,PE,1685956113
325,terney,45.0503,136.6092,288.82,79,46,2.38,RU,1685956113
326,samana,19.2056,-69.3369,300.12,84,1,3.2,DO,1685956113
327,cayenne,4.9333,-52.3333,296.17,100,40,0.0,GF,1685956114
328,kuching,1.55,110.3333,303.27,74,40,1.54,MY,1685956114
329,denpasar,-8.65,115.2167,300.96,83,40,4.12,ID,1685956008
330,do gonbadan,30.3586,50.7981,312.49,5,57,6.03,IR,1685956114
331,nouadhibou,20.931,-17.0347,292.55,85,0,5.24,MR,1685956115
332,kahna nau,31.3692,74.3653,311.17,30,40,5.14,PK,1685956115
333,lynn haven,30.2455,-85.6483,293.74,82,0,0.89,US,1685956115
334,axim,4.8699,-2.2405,300.95,77,99,2.91,GH,1685956115
335,kanigoro,-8.13,112.219,298.7,83,87,4.5,ID,1685956116
336,finnsnes,69.2296,17.9811,279.49,97,100,12.56,NO,1685956116
337,krasnoselkup,65.7,82.4667,294.06,55,87,4.18,RU,1685956116
338,strezhevoy,60.7333,77.5889,307.24,26,2,4.1,RU,1685956116
339,shimoda,34.6667,138.95,296.35,73,100,3.19,JP,1685955938
340,sao felix do xingu,-6.6447,-51.995,293.71,98,11,0.82,BR,1685956117
341,dawei,14.0833,98.2,300.26,87,100,2.33,MM,1685956117
342,tezu,27.9167,96.1667,311.94,24,6,2.49,IN,1685956117
343,iquique,-20.2208,-70.1431,291.17,78,3,1.32,CL,1685956118
344,wamba,8.9333,8.6,301.56,69,100,1.91,NG,1685956118
345,brooks,50.5834,-111.8851,288.73,81,2,4.53,CA,1685956118
346,mount isa,-20.7333,139.5,296.02,49,40,2.06,AU,1685956118
347,kloulklubed,7.0419,134.2556,300.43,77,100,6.24,PW,1685956118
348,inirida,3.8653,-67.9239,295.8,98,100,1.03,CO,1685956119
349,zyryanovsk,49.7386,84.2719,301.63,44,0,0.98,KZ,1685956119
350,srivardhan,18.0333,73.0167,304.93,61,1,4.82,IN,1685956119
351,dourbali,11.8091,15.8632,308.37,35,94,4.64,TD,1685956119
352,yomou,7.5603,-9.2653,296.12,96,99,0.33,GN,1685956119
353,amaigbo,5.7892,7.8383,300.86,79,93,1.8,NG,1685956101
354,kigoma,-4.8769,29.6267,301.19,50,84,2.66,TZ,1685956120
355,uinskoye,56.8817,56.5813,292.19,36,0,2.58,RU,1685956120
356,potiskum,11.7091,11.0694,308.05,35,87,4.32,NG,1685956100
357,kailua,21.4022,-157.7394,299.14,78,75,2.57,US,1685956120
358,kansanshi,-12.0951,26.4273,298.48,32,19,2.87,ZM,1685956121
359,cohoes,42.7742,-73.7001,285.01,86,20,3.13,US,1685956121
360,kavieng,-2.5744,150.7967,301.58,77,48,3.97,PG,1685956121
361,bisho,-32.8472,27.4422,287.02,41,0,7.49,ZA,1685956121
362,aykhal,66.0,111.5,275.29,75,100,7.16,RU,1685956122
363,mwaro,-3.5,29.6667,292.63,68,93,3.18,BI,1685956122
364,catuday,16.2923,119.8062,301.36,76,69,3.64,PH,1685956122
365,tura,25.5198,90.2201,310.6,26,44,1.48,IN,1685956122
366,luwuk,-0.9516,122.7875,301.53,77,50,2.72,ID,1685956122
367,bagdarin,54.4333,113.6,289.99,32,99,4.75,RU,1685955926
368,saint-joseph,-21.3667,55.6167,300.36,76,17,5.21,RE,1685955927
369,youkounkoun,12.5333,-13.1333,302.79,51,100,3.49,GN,1685956123
